Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Albert Rivas","ATL","CPX","19-20",3,3,4.892616948621409,15,5,0,0,0,3,,49.2,221,54,33,27,2,11,0,8,1,1,50,"sa3018286"
"Walbert Urena","LAA","A,CPX","18-19",3,6,6.557142857142857,21,18,0,0,0,0,,70,335,66,61,51,4,58,0,6,14,2,82,"sa3018298"
"Eybersson Polanco","BOS","CPX,DSL","18-19",2,1,1.975609572284087,13,13,0,0,0,0,,54.2,212,36,13,12,1,19,0,2,4,0,54,"sa3018301"
"Candido Cuevas","NYM","A,CPX,DSL","18-19",2,4,4.959183673469388,18,9,0,0,0,1,,49,227,45,36,27,1,31,0,3,9,3,58,"sa3018305"
"Luis Bermudez","SFG","CPX,DSL","18-19",1,2,2.2792210050529387,13,11,0,0,0,0,,51.1,209,35,18,13,3,19,0,5,3,4,47,"sa3018317"
"Jeffrey German","PHI","DSL","17-18",4,1,2.5155277119012003,13,12,0,0,0,0,,53.2,217,35,17,15,1,23,0,6,4,0,49,"sa3018324"
"Frankeli Arias","CHW","CPX,DSL","19-20",5,1,3.0186332542814407,14,6,1,1,0,0,,53.2,221,43,27,18,4,15,0,2,10,1,55,"sa3018352"
"Rafael Sanchez","TOR","A,A+,CPX,DSL","22-23",7,6,3.5357142255014313,24,23,1,0,0,0,,112,466,109,54,44,8,26,0,2,10,2,118,"sa3018362"
"Yenrri Rojas","CHC","CPX,DSL","18-19",0,6,4.733766702802257,13,13,0,0,0,0,,51.1,224,64,31,27,1,15,0,4,6,3,32,"sa3018366"
"Rolando Gutierrez","ATL","A,CPX,DSL","20-21",2,3,4.013513781832395,16,11,0,0,0,0,,49.1,213,42,32,22,2,19,0,1,7,3,41,"sa3018372"
"Joseph Montalvo","TEX","A,CPX","20-21",9,0,2.109374937135728,19,6,0,0,0,0,,64,262,46,16,15,3,23,0,2,4,1,81,"sa3018802"
"Anfernny Reyes","MIL","CPX,DSL","18-19",3,0,1.4304633344884317,13,11,0,0,0,1,,50.1,220,46,18,8,0,25,0,1,9,0,55,"sa3018807"
"Miguel Olivares","MIN","CPX,DSL","18-19",1,2,1.3846153846153846,13,8,0,0,0,0,,52,208,27,13,8,0,21,0,8,8,1,58,"sa3018813"
"Bryan Bautista","BAL","CPX,DSL","18-19",1,4,4.09655102361267,14,11,0,0,0,0,,48.1,207,51,27,22,1,12,0,3,3,0,49,"sa3018820"
"Maxwel Hernandez","PHI","DSL","19-20",3,2,0.8385092373004002,12,12,0,0,0,0,,53.2,212,28,10,5,2,17,0,9,4,2,55,"sa3018822"
"Fernando Perez","TOR","CPX,DSL","18-19",1,4,4.342656879274928,13,13,0,0,0,0,,47.2,211,56,34,23,4,7,0,4,6,0,50,"sa3018826"
"Manuel Cazorla","LAA","CPX,DSL","17-18",4,1,3.4394907801430845,13,12,0,0,0,0,,52.1,238,50,34,20,1,24,0,5,13,0,50,"sa3018829"
"Joneiker Arellano","CIN","CPX,DSL","17-18",1,2,4.90909038526731,13,9,0,0,0,0,,47.2,214,58,30,26,3,14,0,1,4,0,44,"sa3018831"
"Didier Fuentes","ATL","A,DSL","17-18",1,5,4.114285714285714,21,18,0,0,0,0,,70,287,67,35,32,8,22,0,2,3,3,77,"sa3018841"
"Jhonly Taveras","ATL","CPX,DSL","17-18",2,0,2.979310658349468,14,10,0,0,0,0,,48.1,207,31,20,16,5,33,0,5,8,0,42,"sa3018847"
"Mauricio Estrella","SFG","CPX,DSL","18-19",3,4,3.7850468976496265,15,13,0,0,0,0,,71.1,301,68,39,30,5,18,0,3,8,3,71,"sa3018857"
"Pedro Garcia","DET","CPX,DSL","20-21",4,2,2.9277111124899173,14,11,0,0,0,0,,55.1,215,37,18,18,5,11,0,3,6,1,50,"sa3018872"
"Moises Brito","TOR","DSL","19-20",4,4,1.4896552703893773,18,5,0,0,1,1,,48.1,176,29,11,8,2,3,0,0,3,3,54,"sa3018900"
